Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,2001,343,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,2002,28,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,2003,-1008,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,2004,-884,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,2005,319,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,2006,658,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,2007,-139,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,2008,-296,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,2009,-686,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,2010,411,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2513,Barley and products,2011,785,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1961,6544,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1962,8447,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1963,-4356,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1964,9106,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1965,6490,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1966,4567,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1967,-10958,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1968,3417,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1969,1999,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1970,10637,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1971,-18629,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1972,1574,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1973,7567,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1974,3566,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1975,-10656,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1976,-10173,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1977,-15312,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1978,-10491,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1979,-10014,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1980,18722,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1981,-24957,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1982,-22397,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1983,63660,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1984,-14249,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1985,-47725,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1986,-32433,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1987,13152,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1988,54169,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1989,11237,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1990,3850,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1991,15247,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1992,-24908,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1993,38871,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1994,-37572,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1995,32520,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1996,-4927,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1997,-7297,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1998,-20279,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,1999,4454,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,2000,-6081,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,2001,7289,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,2002,20359,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,2003,-1567,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,2004,-26859,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,2005,-5170,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,2006,20842,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,2007,-12875,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,2008,5672,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,2009,-3410,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,2010,19471,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2514,Maize and products,2011,10320,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1961,180,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1962,-96,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1963,155,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1964,-135,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1965,-180,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1966,13,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1967,43,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1968,86,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1969,-114,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1970,-269,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1971,-356,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1972,63,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,1973,723,S,Standardized data
